Date,ACWI,SP500,RUSSELL1000,EW,GMV,RP,GMV_EW
2022-06-01,-0.08429636,-0.08295657,-0.084151866,-0.10220893,-0.070298298,-0.094873905,-0.086253614
2022-07-01,0.069832524,0.091877474,0.092819975,0.036806748,0.044997119,0.037800235,0.040901934
2022-08-01,-0.036814898,-0.041279155,-0.038867887,-0.019610177,-0.016298471,-0.015248955,-0.017954324
2022-09-01,-0.095729302,-0.09248727,-0.092904022,-0.092481797,-0.087272552,-0.090890143,-0.089877174
2022-10-03,0.060347039,0.080630527,0.079880472,0.059756762,0.029651943,0.049564116,0.044704352
2022-11-01,0.077563394,0.055244349,0.053488687,0.103838604,0.090013053,0.098842393,0.096925828
2022-12-01,-0.03935096,-0.05802087,-0.058549521,-0.004871047,-0.005326328,-0.007797216,-0.005098688
2023-01-02,0.071676861,0.062509368,0.066734933,0.063914438,0.034172625,0.055996873,0.049043532
2023-02-01,-0.028660002,-0.024913613,-0.024287769,-0.022867948,-0.029277435,-0.023770781,-0.026072691
2023-03-01,0.030832581,0.036215326,0.031146092,0.010828165,0.016293235,0.011381509,0.0135607
2023-04-03,0.014372563,0.015318591,0.012110334,0.023474132,0.019429692,0.020744878,0.021451912
2023-05-01,-0.010710521,0.003786005,0.004120545,-0.041692697,-0.034410637,-0.038648053,-0.038051667
2023-06-01,0.05806094,0.065672311,0.06713853,0.047276107,0.021753594,0.037913454,0.03451485
2023-07-03,0.036607955,0.031828394,0.03410421,0.052813725,0.038523083,0.050172416,0.045668404
2023-08-01,-0.027943919,-0.016460134,-0.018006288,-0.042132265,-0.032338141,-0.039002856,-0.037235203
2023-09-01,-0.041350837,-0.047990709,-0.047300131,-0.030036933,-0.020214715,-0.025688138,-0.025125824
2023-10-02,-0.030066852,-0.021312207,-0.02444206,-0.035359033,-0.030124791,-0.036566302,-0.032741912
2023-11-01,0.092295845,0.090680619,0.09277682,0.08870363,0.078043138,0.085576315,0.083373384
2023-12-01,0.048033973,0.045070117,0.049007052,0.052050891,0.038629908,0.047642936,0.0453404
2024-01-01,0.005862271,0.01653203,0.013686942,-0.008969575,0.015879351,-0.004313977,0.003454888
2024-02-01,0.042913327,0.05289285,0.053520275,0.016645684,0.01858865,0.017335666,0.017617167
2024-03-01,0.031396866,0.031827598,0.031710579,0.016323762,-0.023610702,0.006333986,-0.00364347
2024-04-01,-0.032992979,-0.041075648,-0.042773164,-0.008442492,-0.02453411,-0.012317228,-0.016488301
2024-05-01,0.040613614,0.049114878,0.046635424,0.027971489,0.014460173,0.023043811,0.021215831
2024-06-03,0.022272135,0.035519249,0.03273697,-0.007266103,0.007771417,-0.001450527,0.000252657
2024-07-01,0.016127486,0.011916469,0.014307246,0.025897627,0.0345711,0.028067051,0.030234364
2024-08-01,0.025396501,0.02382995,0.0232862,0.030706231,0.037172387,0.032525712,0.033939309
2024-09-02,0.023231089,0.021009307,0.021041204,0.024733146,0.021950697,0.026471632,0.023341921
2024-10-01,-0.022446816,-0.009318042,-0.007202806,-0.047149029,-0.038652033,-0.044560958,-0.042900531
2024-11-01,0.037403683,0.058281403,0.063963245,-0.011991499,-0.003643011,-0.010761687,-0.007817255
2024-12-02,-0.023671624,-0.024183656,-0.028217555,-0.014056497,-0.008058611,-0.010987322,-0.011057554
2025-01-01,0.033565955,0.027597846,0.03158937,0.041669298,0.007826956,0.030727236,0.024748127
2025-02-03,-0.006024365,-0.013406113,-0.017832304,0.014684489,0.007120224,0.009928341,0.010902356
2025-03-03,-0.039504648,-0.056704814,-0.058238604,0.0126366,-0.007478058,0.00838082,0.002579271
