Date,RF_m,ACWI_m,SP500_m,RUSSELL1000_m,EW_m,GMV_m,RP_m,GMV_EW_m,YoY_Infl,CPI,HI1,HI2,MKT_exc,SMB,HML,MOM,ACWI_exc,SP500_exc,RUSSELL1000_exc,EW_exc,GMV_exc,RP_exc,GMV_EW_exc
2010-09-01,0.000100000000,0.095667430938,0.088739669421,0.091373149566,0.111461095619,0.082505983534,0.105421243467,0.096983539576,0.011000000000,218.439000000000,0,0,0.0985,0.0161,0.0055,0.0234,0.095567430938,0.088639669421,0.091273149566,0.111361095619,0.082405983534,0.105321243467,0.096883539576
2010-10-01,0.000100000000,0.036139918827,0.037691934161,0.038575771749,0.038972881963,0.021312486981,0.035593226308,0.030142684472,0.012000000000,218.711000000000,0,0,0.0394,-0.0044,-0.0219,0.0051,0.036039918827,0.037591934161,0.038475771749,0.038872881963,0.021212486981,0.035493226308,0.030042684472
2010-11-01,0.000100000000,-0.022248719544,-0.000597043826,0.002600794875,-0.059904364391,-0.019349955745,-0.051165310190,-0.039627160068,0.011000000000,218.803000000000,0,0,-0.0217,-0.0242,-0.0135,0.043,-0.022348719544,-0.000697043826,0.002500794875,-0.060004364391,-0.019449955745,-0.051265310190,-0.039727160068
2010-12-01,0.000100000000,0.073225769666,0.066370657410,0.066288601909,0.075701883479,0.072128943941,0.072398348120,0.073915413710,0.015000000000,219.179000000000,0,0,0.076,0.0068,0.0079,-0.004,0.073125769666,0.066270657410,0.066188601909,0.075601883479,0.072028943941,0.072298348120,0.073815413710
2011-01-03,0.000100000000,0.015693303522,0.023387857896,0.023759122935,0.000359897109,-0.029211823841,-0.006066790173,-0.014425963366,0.016000000000,220.223000000000,0,0,0.0213,0.0256,-0.0006,-0.016,0.015593303522,0.023287857896,0.023659122935,0.000259897109,-0.029311823841,-0.006166790173,-0.014525963366
2011-02-01,0.000100000000,0.029125335940,0.033569889185,0.034153216266,0.012587482115,-0.000607683220,0.009983849542,0.005989899447,0.021000000000,221.309000000000,0,0,0.0349,0.0006,0.0014,0.0122,0.029025335940,0.033469889185,0.034053216266,0.012487482115,-0.000707683220,0.009883849542,0.005889899447
2011-03-01,0.000100000000,-0.001003621837,-0.000038171946,0.002148633728,0.025847379303,0.005507968907,0.021938340665,0.015677674105,0.027000000000,223.467000000000,0,0,-0.0068,-0.0023,0.0307,0.0132,-0.001103621837,-0.000138171946,0.002048633728,0.025747379303,0.005407968907,0.021838340665,0.015577674105
2011-04-01,0.000000000000,0.040912164589,0.029278999857,0.029758300660,0.047775235369,0.026721874090,0.039949250766,0.037248554730,0.032000000000,224.906000000000,0,0,0.0447,0.0382,0.0082,0.0151,0.040912164589,0.029278999857,0.029758300660,0.047775235369,0.026721874090,0.039949250766,0.037248554730
2011-05-02,0.000000000000,-0.021490363343,-0.011974632138,-0.011326065373,-0.028427931309,0.012573088380,-0.018098204717,-0.007927421465,0.036000000000,225.964000000000,0,1,-0.021,0.0012,-0.0249,0.0031,-0.021490363343,-0.011974632138,-0.011326065373,-0.028427931309,0.012573088380,-0.018098204717,-0.007927421465
2011-06-01,0.000000000000,-0.015758085550,-0.017145028927,-0.017949067935,-0.017838772176,-0.019321360536,-0.018629938383,-0.018580066356,0.036000000000,225.722000000000,0,1,-0.0152,0.0033,-0.0269,0.0146,-0.015758085550,-0.017145028927,-0.017949067935,-0.017838772176,-0.019321360536,-0.018629938383,-0.018580066356
